model_name,epoch,train_loss,val_loss,train_accuracy_pct,val_accuracy_pct,epoch_seconds
swin_small_cached_extended,8,0.7825723950386048,1.0312448368072509,80.41,72.4,0.29167409100045916
swin_small_cached_extended,9,0.7300224271774292,1.0092665452957152,81.72,72.75,0.2147959029971389
swin_small_cached_extended,10,0.685323283958435,0.9910581903457641,82.89,73.3,0.30875836099585285
swin_small_cached_extended,11,0.6456266993522644,0.978140923500061,83.98,73.9,0.19591600099374773
swin_small_cached_extended,12,0.6101004548072815,0.965101927280426,84.82,73.65,0.3465146340022329
swin_small_cached_extended,13,0.579047104549408,0.9561808986663818,85.61,74.5,0.23463522599922726
swin_small_cached_extended,14,0.549532421875,0.9476958980560303,86.39,73.8,0.26403762900008587
swin_small_cached_extended,15,0.5223156200408936,0.9446143479347229,87.33,73.85,0.41735550799785415
swin_small_cached_extended,16,0.4974285064697266,0.9381786704063415,87.91,74.45,0.31555094600480516
swin_small_cached_extended,17,0.47618925342559815,0.932491473197937,88.72,74.15,0.18562574200041126
swin_small_cached_extended,18,0.45564755692481995,0.9317004742622376,89.5,74.3,0.11483809399942402
swin_small_cached_extended,19,0.43567448081970217,0.9253775696754456,90.23,74.4,0.3011216160011827
swin_small_cached_extended,20,0.4171891698360443,0.9256659035682678,90.76,74.4,0.17065180999634322
swin_small_cached_extended,21,0.40028097767829895,0.9236788916587829,91.31,74.55,0.24589598499733256
swin_small_cached_extended,22,0.384931006526947,0.9229460434913636,91.89,74.55,0.14528423699812265
swin_small_cached_extended,23,0.3701233050346375,0.9208793187141419,92.23,74.8,0.14904878500237828
swin_small_cached_extended,24,0.35567281332015993,0.9232201542854309,92.85,74.35,0.29034573099488625
swin_small_cached_extended,25,0.3422598473072052,0.921905279636383,93.35,74.6,0.12861300200165715
swin_small_cached_extended,26,0.3303518909931183,0.9208422636985779,93.46,74.55,0.12690683500113664
swin_small_cached_extended,27,0.3187601793289185,0.9211685614585876,93.91,74.6,0.13531708600203274
swin_small_cached_extended,28,0.3067803266048431,0.9219961867332459,94.45,74.7,0.11344760400243104
swin_small_cached_extended,29,0.2967704546928406,0.9217781047821045,94.64,74.55,0.1247930340032326
swin_small_cached_extended,30,0.2869289691448212,0.9230620632171631,94.96,74.25,0.12335398899449501
